#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 09 01 00 999 99.0 99.0  0.73  6.25 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 09 02 00 999 99.0 99.0  0.67  7.27 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 09 03 00 999 99.0 99.0  0.66  6.90 99.00  94 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 09 04 00 999 99.0 99.0  0.57  8.16 99.00  82 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 09 05 00 999 99.0 99.0  0.58  7.69 99.00  84 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 09 06 00 999 99.0 99.0  0.59  8.16 99.00  82 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 09 07 00 999 99.0 99.0  0.57  7.27 99.00  88 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 09 08 00 999 99.0 99.0  0.57  6.90 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 09 10 00 999 99.0 99.0  0.49  8.16 99.00  91 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 09 11 00 999 99.0 99.0  0.53  8.16 99.00  85 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 09 12 00 999 99.0 99.0  0.52  8.16 99.00  82 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 09 13 00 999 99.0 99.0  0.47  8.16 99.00  85 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 09 14 00 999 99.0 99.0  0.48  7.69 99.00  95 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 09 15 00 999 99.0 99.0  0.54  8.16 99.00  85 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 09 16 00 999 99.0 99.0  0.48  7.69 99.00  95 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 09 17 00 999 99.0 99.0  0.45  7.69 99.00  84 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 09 18 00 999 99.0 99.0  0.45  7.69 99.00  95 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 09 19 00 999 99.0 99.0  0.48  4.12 99.00  64 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 09 20 00 999 99.0 99.0  0.47  4.40 99.00  89 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 09 21 00 999 99.0 99.0  0.47  7.69 99.00  84 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 09 22 00 999 99.0 99.0  0.44  4.71 99.00  98 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 09 23 00 999 99.0 99.0  0.50  4.55 99.00  54 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 00 00 999 99.0 99.0  0.45  5.48 99.00 102 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 01 00 999 99.0 99.0  0.42  8.16 99.00  85 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 02 00 999 99.0 99.0  0.63  4.26 99.00  84 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 03 00 999 99.0 99.0  0.93  5.26 99.00  94 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 04 00 999 99.0 99.0  1.02  5.26 99.00 101 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 05 00 999 99.0 99.0  1.05  5.97 99.00  82 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 06 00 999 99.0 99.0  1.45  6.56 99.00  92 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 07 00 999 99.0 99.0  1.23  5.97 99.00  82 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 08 00 999 99.0 99.0  1.18  5.97 99.00  94 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 09 00 999 99.0 99.0  1.10  5.97 99.00  82 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 10 00 999 99.0 99.0  1.08  6.56 99.00  92 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 11 00 999 99.0 99.0  1.05  6.25 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 12 00 999 99.0 99.0  1.10  6.56 99.00  92 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 13 00 999 99.0 99.0  0.83  6.56 99.00  97 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 14 00 999 99.0 99.0  0.80  5.97 99.00  94 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 15 00 999 99.0 99.0  0.84  6.25 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 16 00 999 99.0 99.0  0.76  5.06 99.00  88 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 17 00 999 99.0 99.0  0.73  6.25 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 18 00 999 99.0 99.0  0.66  8.16 99.00  82 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 19 00 999 99.0 99.0  0.63  7.27 99.00  88 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 20 00 999 99.0 99.0  0.64  4.55 99.00  83 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 21 00 999 99.0 99.0  0.63  6.25 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 22 00 999 99.0 99.0  0.63  5.06 99.00  88 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 10 23 00 999 99.0 99.0  0.66  4.88 99.00  73 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 00 00 999 99.0 99.0  0.61  4.55 99.00  83 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 01 00 999 99.0 99.0  0.72  5.06 99.00  80 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 02 00 999 99.0 99.0  0.71  5.06 99.00  88 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 03 00 999 99.0 99.0  0.66  5.48 99.00  91 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 04 00 999 99.0 99.0  0.76  6.25 99.00  92 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 05 00 999 99.0 99.0  0.81  5.97 99.00  82 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 06 00 999 99.0 99.0  1.06  6.25 99.00  92 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 07 00 999 99.0 99.0  0.92  6.90 99.00  94 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 08 00 999 99.0 99.0  0.98  6.56 99.00  92 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 09 00 999 99.0 99.0  0.86  5.97 99.00  82 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 10 00 999 99.0 99.0  0.80  6.56 99.00  92 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 11 00 999 99.0 99.0  0.87  5.97 99.00  82 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 12 00 999 99.0 99.0  0.85  6.25 99.00  92 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 13 00 999 99.0 99.0  0.80  6.25 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 14 00 999 99.0 99.0  0.82  7.69 99.00  95 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 15 00 999 99.0 99.0  0.80  7.69 99.00  84 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 16 00 999 99.0 99.0  0.79  7.69 99.00  95 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 17 00 999 99.0 99.0  0.74  5.97 99.00  82 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 18 00 999 99.0 99.0  0.76  6.25 99.00  92 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 19 00 999 99.0 99.0  0.69  6.90 99.00  94 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 20 00 999 99.0 99.0  0.76  7.27 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 21 00 999 99.0 99.0  0.75  7.27 99.00  88 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 22 00 999 99.0 99.0  0.77  6.56 99.00  92 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 11 23 00 999 99.0 99.0  0.73  5.97 99.00  82 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 12 00 00 999 99.0 99.0  0.68  5.26 99.00 101 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 12 01 00 999 99.0 99.0  0.68  6.25 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 12 02 00 999 99.0 99.0  0.69  5.26 99.00 101 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 12 03 00 999 99.0 99.0  0.55  6.56 99.00  97 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 12 04 00 999 99.0 99.0  0.65  5.71 99.00  99 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 12 05 00 999 99.0 99.0  0.62  8.16 99.00  85 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 12 06 00 999 99.0 99.0  0.59  5.48 99.00 102 9999.0 999.0 999.0 999.0 99.0 99.00
